Date,Day,Name
Dec 25,Saturday,Christmas Day
Dec 25,Saturday,Christmas Day
Dec 26,Sunday,Kwanzaa (first day)
Dec 26,Sunday,Day After Christmas Day
Dec 27,Monday,International Day of Epidemic Preparedness
Dec 27,Monday,Christmas Day (substitute)
Dec 30,Thursday,New Year Holiday
Dec 31,Friday,New Year's Day (substitute)
Dec 31,Friday,New Year's Day (substitute)
Dec 31,Friday,New Year's Eve
Dec 31,Friday,New Year's Eve
